,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
3515,Shane Long,Centre-Forward,27,Hull City,Premier League,Southampton,England,2014-2015,6000000.0,14900000
3516,Hakan Calhanoglu,Left Winger,20,Hamburger SV,1.Bundesliga,Bay. Leverkusen,Germany,2014-2015,7000000.0,14500000
3517,Seydou Doumbia,Centre-Forward,27,CSKA Moscow,Premier Liga,AS Roma,Italy,2014-2015,25000000.0,14400000
3518,Dusan Tadic,Attacking Midfield,25,FC Twente,Eredivisie,Southampton,England,2014-2015,10000000.0,14000000
3519,Ryan Bertrand,Left-Back,25,Chelsea,Premier League,Southampton,England,2014-2015,6000000.0,13340000
3520,Loïc Rémy,Centre-Forward,27,QPR,Premier League,Chelsea,England,2014-2015,12000000.0,13200000
3521,Lucas Silva,Central Midfield,21,Cruzeiro,Série A,Real Madrid,Spain,2014-2015,12000000.0,13000000
3522,Aymen Abdennour,Centre-Back,24,Toulouse,Ligue 1,Monaco,France,2014-2015,6000000.0,13000000
3523,Konstantinos Manolas,Centre-Back,23,Olympiacos,Super League,AS Roma,Italy,2014-2015,6000000.0,13000000
3524,Ben Davies,Left-Back,21,Swansea,Premier League,Spurs,England,2014-2015,5500000.0,12650000
3525,Brown Ideye,Centre-Forward,25,Dynamo Kyiv,Premier Liga,West Brom,England,2014-2015,7000000.0,12630000
3526,Divock Origi,Centre-Forward,19,LOSC Lille,Ligue 1,Liverpool,England,2014-2015,1000000.0,12630000
3527,Jack Rodwell,Defensive Midfield,23,Man City,Premier League,Sunderland,England,2014-2015,12000000.0,12600000
3528,Manolo Gabbiadini,Centre-Forward,23,Sampdoria,Serie A,SSC Napoli,Italy,2014-2015,12000000.0,12500000
3529,Fraser Forster,Goalkeeper,26,Celtic,Premiership,Southampton,England,2014-2015,4500000.0,12500000
3530,Marc-André ter Stegen,Goalkeeper,22,Bor. M'gladbach,1.Bundesliga,FC Barcelona,Spain,2014-2015,20000000.0,12000000
3531,Nicolás Otamendi,Centre-Back,26,FC Porto,Liga NOS,Valencia CF,Spain,2014-2015,12000000.0,12000000
3532,Kevin Kampl,Central Midfield,24,RB Salzburg,Bundesliga,Bor. Dortmund,Germany,2014-2015,9000000.0,12000000
3533,Emre Can,Defensive Midfield,20,Bay. Leverkusen,1.Bundesliga,Liverpool,England,2014-2015,7500000.0,12000000
3534,Abel Hernández,Centre-Forward,24,US Palermo,Serie A,Hull City,England,2014-2015,5000000.0,12000000
3535,Claudio Bravo,Goalkeeper,31,Real Sociedad,LaLiga,FC Barcelona,Spain,2014-2015,4000000.0,12000000
3536,Ross McCormack,Second Striker,27,Leeds,Championship,Fulham,England,2014-2015,2600000.0,11800000
3537,Quincy Promes,Left Winger,22,FC Twente,Eredivisie,Spartak Moscow,Russia,2014-2015,3000000.0,11500000
3538,Vincent Aboubakar,Centre-Forward,22,FC Lorient,Ligue 1,FC Porto,Portugal,2014-2015,5500000.0,11200000
3539,Alan,Centre-Forward,25,RB Salzburg,Bundesliga,GZ Evergrande,China,2014-2015,4000000.0,11100000
3540,Adrián López,Second Striker,26,Atlético Madrid,LaLiga,FC Porto,Portugal,2014-2015,8000000.0,11000000
3541,Graziano Pellè,Centre-Forward,29,Feyenoord,Eredivisie,Southampton,England,2014-2015,6500000.0,11000000
3542,Steven Caulker,Centre-Back,22,Cardiff,Championship,QPR,England,2014-2015,7500000.0,10750000
3543,Raúl Jiménez,Centre-Forward,23,América,Liga MX Clausura,Atlético Madrid,Spain,2014-2015,10000000.0,10500000
3544,Gylfi Sigurdsson,Attacking Midfield,24,Spurs,Premier League,Swansea,England,2014-2015,8000000.0,10100000
3545,Leonardo Ulloa,Centre-Forward,28,Brighton,Championship,Leicester,England,2014-2015,2000000.0,10100000
3546,Matthias Ginter,Centre-Back,20,SC Freiburg,1.Bundesliga,Bor. Dortmund,Germany,2014-2015,12000000.0,10000000
3547,Rémy Cabella,Attacking Midfield,24,Montpellier,Ligue 1,Newcastle,England,2014-2015,10000000.0,10000000
3548,Keylor Navas,Goalkeeper,27,Levante UD,LaLiga,Real Madrid,Spain,2014-2015,10000000.0,10000000
3549,Leroy Fer,Central Midfield,24,Norwich,Championship,QPR,England,2014-2015,8500000.0,10000000
3550,Guilherme Siqueira,Left-Back,28,Granada CF,LaLiga,Atlético Madrid,Spain,2014-2015,8000000.0,10000000
3551,Federico Fazio,Centre-Back,27,Sevilla FC,LaLiga,Spurs,England,2014-2015,8000000.0,10000000
3552,Federico Fernández,Centre-Back,25,SSC Napoli,Serie A,Swansea,England,2014-2015,5000000.0,10000000
3553,Juan Bernat,Left-Back,21,Valencia CF,LaLiga,Bayern Munich ,Germany,2014-2015,4000000.0,10000000
3554,Andreas Samaris,Defensive Midfield,25,Olympiacos,Super League,Benfica,Portugal,2014-2015,2500000.0,10000000
3555,Carlos Muñoz,Centre-Forward,25,Baniyas SC,UAE Gulf League,Al-Ahli (UAE),United Arab Emirates,2014-2015,900000.0,9800000
3556,Adrián Ramos,Centre-Forward,28,Hertha BSC,1.Bundesliga,Bor. Dortmund,Germany,2014-2015,11000000.0,9700000
3557,Stefano Sturaro,Central Midfield,21,Genoa,Serie A,Juventus,Italy,2014-2015,3500000.0,9600000
3558,Wallace,Centre-Back,19,Cruzeiro,Série A,Braga,Portugal,2014-2015,100000.0,9500000
3559,Xabi Alonso,Defensive Midfield,32,Real Madrid,LaLiga,Bayern Munich ,Germany,2014-2015,8000000.0,9000000
3560,Yann Sommer,Goalkeeper,25,FC Basel,Super League,Bor. M'gladbach,Germany,2014-2015,8000000.0,9000000
3561,Andrej Kramaric,Centre-Forward,23,HNK Rijeka,1.HNL,Leicester,England,2014-2015,4500000.0,9000000
3562,Darwin Quintero,Right Winger,27,Santos Laguna,Liga MX Clausura,América,Mexico,2014-2015,3000000.0,9000000
3563,James McArthur,Central Midfield,26,Wigan,Championship,Crystal Palace,England,2014-2015,3000000.0,8800000
3564,Siem de Jong,Attacking Midfield,25,AFC Ajax,Eredivisie,Newcastle,England,2014-2015,10000000.0,8700000
3565,Pierre-Michel Lasogga,Centre-Forward,22,Hertha BSC,1.Bundesliga,Hamburger SV,Germany,2014-2015,9000000.0,8500000
3566,Joaquín Correa,Left Winger,20,Estudiantes,Primera División,Sampdoria,Italy,2014-2015,8000000.0,8400000
3567,Ciro Immobile,Centre-Forward,24,Juventus,Serie A,Torino,Italy,2014-2015,18000000.0,8000000
3568,Shinji Kagawa,Attacking Midfield,25,Man Utd,Premier League,Bor. Dortmund,Germany,2014-2015,15000000.0,8000000
3569,Gary Medel,Defensive Midfield,27,Cardiff,Championship,Inter,Italy,2014-2015,11000000.0,8000000
3570,Alfred Finnbogason,Centre-Forward,25,Heerenveen,Eredivisie,Real Sociedad,Spain,2014-2015,9000000.0,8000000
3571,Paulinho,Centre-Forward,28,AS Livorno,Serie B,Al Arabi,Qatar,2014-2015,8500000.0,8000000
3572,Marlos,Right Winger,26,Metalist,Premier Liga,Shakhtar D.,Russia,2014-2015,7000000.0,8000000
3573,Shkodran Mustafi,Centre-Back,22,Sampdoria,Serie A,Valencia CF,Spain,2014-2015,7000000.0,8000000
3574,Imoh Ezekiel,Centre-Forward,20,Standard Liège,Jupiler Pro League,Al Arabi,Qatar,2014-2015,5000000.0,8000000
3575,Willy Caballero,Goalkeeper,32,Málaga CF,LaLiga,Man City,England,2014-2015,5000000.0,8000000
3576,Charles Aránguiz,Central Midfield,25,Udinese Calcio,Serie A,Internacional,Brazil,2014-2015,3000000.0,8000000
3577,Odion Ighalo,Centre-Forward,25,Udinese Calcio,Serie A,Watford,England,2014-2015,2000000.0,8000000
3578,Tiemoué Bakayoko,Defensive Midfield,19,Stade Rennais,Ligue 1,Monaco,France,2014-2015,1250000.0,8000000
3579,Kalidou Koulibaly,Centre-Back,23,KRC Genk,Jupiler Pro League,SSC Napoli,Italy,2014-2015,6500000.0,7750000
3580,Bruno Martins Indi,Centre-Back,22,Feyenoord,Eredivisie,FC Porto,Portugal,2014-2015,6000000.0,7700000
3581,Jordon Mutch,Central Midfield,22,Cardiff,Championship,QPR,England,2014-2015,3000000.0,7570000
3582,Sandro,Defensive Midfield,25,Spurs,Premier League,QPR,England,2014-2015,11000000.0,7500000
3583,Cheikhou Kouyaté,Defensive Midfield,24,RSC Anderlecht,Jupiler Pro League,West Ham,England,2014-2015,7000000.0,7500000
3584,Manuel Lanzini,Attacking Midfield,21,River Plate,Torneo Inicial,Al-Jazira,United Arab Emirates,2014-2015,6000000.0,7500000
3585,Robert Snodgrass,Right Winger,26,Norwich,Championship,Hull City,England,2014-2015,5500000.0,7500000
3586,Ángel Correa,Right Winger,19,San Lorenzo,Torneo Inicial,Atlético Madrid,Spain,2014-2015,5000000.0,7500000
3587,Romarinho,Centre-Forward,23,Corinthians,Série A,El-Jaish,Qatar,2014-2015,2000000.0,7500000
3588,Mapou Yanga-Mbiwa,Centre-Back,25,Newcastle,Premier League,AS Roma,Italy,2014-2015,6000000.0,7350000
3589,Maxime Lestienne,Left Winger,22,Club Brugge,Jupiler Pro League,Al Arabi,Qatar,2014-2015,10000000.0,7300000
3590,Mathieu Valbuena,Left Winger,29,Marseille,Ligue 1,Dinamo Moscow,Russia,2014-2015,14000000.0,7000000
3591,Nuri Sahin,Defensive Midfield,25,Real Madrid,LaLiga,Bor. Dortmund,Germany,2014-2015,12000000.0,7000000
3592,Giacomo Bonaventura,Central Midfield,25,Atalanta,Serie A,AC Milan,Italy,2014-2015,10000000.0,7000000
3593,Tin Jedvaj,Centre-Back,19,AS Roma,Serie A,Bay. Leverkusen,Germany,2014-2015,6500000.0,7000000
3594,Stefan de Vrij,Centre-Back,22,Feyenoord,Eredivisie,Lazio,Italy,2014-2015,6000000.0,7000000
3595,Omer Damari,Centre-Forward,25,Austria Vienna,Bundesliga,RB Leipzig,Germany,2014-2015,2500000.0,7000000
3596,Jake Livermore,Defensive Midfield,24,Spurs,Premier League,Hull City,England,2014-2015,2500000.0,7000000
3597,Daley Sinkgraven,Left-Back,19,Heerenveen,Eredivisie,AFC Ajax,Netherlands,2014-2015,1500000.0,7000000
3598,Majeed Waris,Centre-Forward,22,Spartak Moscow,Premier Liga,Trabzonspor,Turkey,2014-2015,2500000.0,6900000
3599,Britt Assombalonga,Centre-Forward,21,Peterborough,League One,Nottm Forest,England,2014-2015,1000000.0,6900000
3600,Josip Drmic,Centre-Forward,21,1.FC Nuremberg,2.Bundesliga,Bay. Leverkusen,Germany,2014-2015,10000000.0,6800000
3601,Florin Gardos,Centre-Back,25,FCS Bucharest,Liga 1,Southampton,England,2014-2015,6000000.0,6800000
3602,Dele Alli,Attacking Midfield,18,MK Dons,League One,Spurs,England,2014-2015,2000000.0,6630000
3603,Kyle Naughton,Right-Back,26,Spurs,Premier League,Swansea,England,2014-2015,5000000.0,6600000
3604,Darío Benedetto,Centre-Forward,24,Club Tijuana,Liga MX Clausura,América,Mexico,2014-2015,1800000.0,6600000
3605,Marko Livaja,Centre-Forward,20,Atalanta,Serie A,Rubin Kazan,Russia,2014-2015,5000000.0,6500000
3606,Yacine Brahimi,Left Winger,24,Granada CF,LaLiga,FC Porto,Portugal,2014-2015,4000000.0,6500000
3607,Wendell,Left-Back,20,Grêmio,Série A,Bay. Leverkusen,Germany,2014-2015,3000000.0,6500000
3608,Callum McManaman,Right Winger,23,Wigan,Championship,West Brom,England,2014-2015,3000000.0,6350000
3609,Jordon Mutch,Central Midfield,23,QPR,Premier League,Crystal Palace,England,2014-2015,6000000.0,6340000
3610,Emmanuel Rivière,Centre-Forward,24,Monaco,Ligue 1,Newcastle,England,2014-2015,5000000.0,6320000
3611,Mirko Vucinic,Second Striker,30,Juventus,Serie A,Al-Jazira,United Arab Emirates,2014-2015,9000000.0,6300000
3612,Bruno Ecuele Manga,Centre-Back,26,FC Lorient,Ligue 1,Cardiff,England,2014-2015,5000000.0,6300000
3613,Ashkan Dejagah,Right Winger,28,Fulham,Championship,Al Arabi,Qatar,2014-2015,3000000.0,6300000
3614,Antonio Sanabria,Centre-Forward,18,Sassuolo,Serie A,AS Roma,Italy,2014-2015,4500000.0,6200000
3615,Ezequiel Garay,Centre-Back,27,Benfica,Liga NOS,Zenit S-Pb,Russia,2014-2015,20000000.0,6000000
3616,Valon Behrami,Defensive Midfield,29,SSC Napoli,Serie A,Hamburger SV,Germany,2014-2015,12000000.0,6000000
3617,Demba Ba,Centre-Forward,29,Chelsea,Premier League,Besiktas,Turkey,2014-2015,11000000.0,6000000
3618,Jonathan de Guzmán,Central Midfield,26,Villarreal CF,LaLiga,SSC Napoli,Italy,2014-2015,10000000.0,6000000
3619,Giuliano,Attacking Midfield,24,Dnipro,Premier Liga,Grêmio,Brazil,2014-2015,8000000.0,6000000
3620,Michy Batshuayi,Centre-Forward,20,Standard Liège,Jupiler Pro League,Marseille,France,2014-2015,8000000.0,6000000
3621,Ádám Szalai,Centre-Forward,26,FC Schalke 04,1.Bundesliga,TSG Hoffenheim,Germany,2014-2015,7000000.0,6000000
3622,Roberto,Goalkeeper,28,Atlético Madrid,LaLiga,Olympiacos,China,2014-2015,6000000.0,6000000
3623,William Vainqueur,Defensive Midfield,25,Standard Liège,Jupiler Pro League,Dinamo Moscow,Russia,2014-2015,6000000.0,6000000
3624,Steven Defour,Central Midfield,26,FC Porto,Liga NOS,RSC Anderlecht,Belgium,2014-2015,6000000.0,6000000
3625,Admir Mehmedi,Second Striker,23,Dynamo Kyiv,Premier Liga,SC Freiburg,Germany,2014-2015,5500000.0,6000000
3626,Oussama Assaidi,Left Winger,26,Liverpool,Premier League,Al-Ahli (UAE),United Arab Emirates,2014-2015,5000000.0,6000000
3627,Dorlan Pabón,Second Striker,26,Valencia CF,LaLiga,Monterrey,Mexico,2014-2015,5000000.0,6000000
3628,Daryl Janmaat,Right-Back,25,Feyenoord,Eredivisie,Newcastle,England,2014-2015,5000000.0,6000000
3629,Carlos Sánchez,Defensive Midfield,28,Elche CF,LaLiga,Aston Villa,England,2014-2015,4000000.0,6000000
3630,Vitorino Antunes,Left-Back,27,Málaga CF,LaLiga,Dynamo Kyiv,Russia,2014-2015,3000000.0,6000000
3631,Filip Kostic,Left Winger,21,FC Groningen,Eredivisie,VfB Stuttgart,Germany,2014-2015,2500000.0,6000000
3632,Roman Eremenko,Attacking Midfield,27,Rubin Kazan,Premier Liga,CSKA Moscow,Russia,2014-2015,13000000.0,5900000
3633,Benjamin Stambouli,Centre-Back,24,Montpellier,Ligue 1,Spurs,England,2014-2015,5000000.0,5900000
3634,Muriqui,Left Winger,28,GZ Evergrande,Super League,Al Sadd,Qatar,2014-2015,3500000.0,5900000
3635,Ishak Belfodil,Second Striker,22,Inter,Serie A,Parma,Italy,2014-2015,7000000.0,5750000
3636,Eric Bailly,Centre-Back,20,Espanyol,LaLiga,Villarreal CF,Spain,2014-2015,1000000.0,5700000
3637,Michel Vorm,Goalkeeper,30,Swansea,Premier League,Spurs,England,2014-2015,7000000.0,5690000
3638,Hai Yu,Left-Back,27,BJ Renhe,Super League,SIPG,China,2014-2015,600000.0,5600000
3639,Luciano Vietto,Centre-Forward,20,Racing Club,Torneo Inicial,Villarreal CF,Spain,2014-2015,8500000.0,5500000
3640,Sime Vrsaljko,Right-Back,22,Genoa,Serie A,Sassuolo,Italy,2014-2015,7500000.0,5500000
3641,Oliver Baumann,Goalkeeper,24,SC Freiburg,1.Bundesliga,TSG Hoffenheim,Germany,2014-2015,7000000.0,5500000
3642,Rickie Lambert,Centre-Forward,32,Southampton,Premier League,Liverpool,England,2014-2015,5000000.0,5500000
3643,Alberto Gilardino,Centre-Forward,32,Genoa,Serie A,GZ Evergrande,China,2014-2015,5000000.0,5500000
3644,Luuk de Jong,Centre-Forward,23,Bor. M'gladbach,1.Bundesliga,PSV Eindhoven,Netherlands,2014-2015,5000000.0,5500000
3645,Grzegorz Krychowiak,Defensive Midfield,24,Reims,Ligue 1,Sevilla FC,Spain,2014-2015,5000000.0,5500000
3646,Oumar Niasse,Centre-Forward,24,Akhisarspor,Süper Lig,Loko Moscow,Russia,2014-2015,4000000.0,5500000
3647,Alexander Büttner,Left-Back,25,Man Utd,Premier League,Dinamo Moscow,Russia,2014-2015,3500000.0,5500000
3648,Diego Tardelli,Centre-Forward,29,Atlético-MG,Série A,SD Luneng,China,2014-2015,3500000.0,5500000
3649,Andrea Belotti,Centre-Forward,20,UC AlbinoLeffe,Serie C - A,US Palermo,Italy,2014-2015,2500000.0,5500000
3650,Isaac Brizuela,Right Winger,24,Toluca,Liga MX Clausura,Chivas,Mexico,2014-2015,2000000.0,5500000
3651,Hanchao Yu,Left Winger,27,DL Yifang,Super League,GZ Evergrande,China,2014-2015,500000.0,5500000
3652,Pape Souaré,Left-Back,24,LOSC Lille,Ligue 1,Crystal Palace,England,2014-2015,3500000.0,5330000
3653,David López,Centre-Back,24,Espanyol,LaLiga,SSC Napoli,Italy,2014-2015,5000000.0,5300000
3654,Hernane,Centre-Forward,28,Flamengo,Série A,Nasr,Saudi Arabia,2014-2015,2000000.0,5300000
3655,Bryan Cristante,Central Midfield,19,AC Milan,Serie A,Benfica,Portugal,2014-2015,3000000.0,5200000
3656,Óscar Cardozo,Centre-Forward,31,Benfica,Liga NOS,Trabzonspor,Turkey,2014-2015,9000000.0,5000000
3657,Massimo Bruno,Attacking Midfield,20,RSC Anderlecht,Jupiler Pro League,RB Leipzig,Germany,2014-2015,8000000.0,5000000
3658,Dória,Centre-Back,19,Botafogo,Série A,Marseille,France,2014-2015,8000000.0,5000000
3659,Pablo Hernández,Right Winger,29,Swansea,Premier League,Al Arabi,Qatar,2014-2015,8000000.0,5000000
3660,Papu Gómez,Second Striker,26,Metalist,Premier Liga,Atalanta,Italy,2014-2015,8000000.0,5000000
3661,Romain Alessandrini,Left Winger,25,Stade Rennais,Ligue 1,Marseille,France,2014-2015,7500000.0,5000000
3662,Daniele Rugani,Centre-Back,20,FC Empoli,Serie A,Juventus,Italy,2014-2015,7500000.0,5000000
3663,Chico,Centre-Back,27,Swansea,Premier League,Al Duhail,Qatar,2014-2015,6500000.0,5000000
3664,Alen Halilovic,Attacking Midfield,18,Dinamo Zagreb,1.HNL,FC Barcelona B,Spain,2014-2015,6500000.0,5000000
3665,Vadis Odjidja-Ofoe,Central Midfield,25,Club Brugge,Jupiler Pro League,Norwich,England,2014-2015,5000000.0,5000000
3666,Sergio Asenjo,Goalkeeper,25,Atlético Madrid,LaLiga,Villarreal CF,Spain,2014-2015,5000000.0,5000000
3667,Luca Marrone,Defensive Midfield,24,Sassuolo,Serie A,Juventus,Italy,2014-2015,4500000.0,5000000
3668,Alan Kasaev,Left Winger,28,Rubin Kazan,Premier Liga,Loko Moscow,Russia,2014-2015,4000000.0,5000000
3669,Jonathan Pitroipa,Right Winger,28,Stade Rennais,Ligue 1,Al-Jazira,United Arab Emirates,2014-2015,4000000.0,5000000
3670,Lucas Mendes,Centre-Back,24,Marseille,Ligue 1,El-Jaish,Qatar,2014-2015,4000000.0,5000000
3671,Pajtim Kasami,Central Midfield,22,Fulham,Championship,Olympiacos,China,2014-2015,3500000.0,5000000
3672,Eric Dier,Defensive Midfield,20,Sporting CP,Liga NOS,Spurs,England,2014-2015,3500000.0,5000000
3673,Jefferson Montero,Left Winger,24,Morelia,Liga MX Clausura,Swansea,England,2014-2015,3300000.0,5000000
3674,Sammir,Attacking Midfield,27,Getafe CF,LaLiga,JS Suning,China,2014-2015,3000000.0,5000000
3675,Joselu,Centre-Forward,24,TSG Hoffenheim,1.Bundesliga,Hannover 96,Germany,2014-2015,3000000.0,5000000
3676,Diafra Sakho,Centre-Forward,24,FC Metz,Ligue 1,West Ham,England,2014-2015,3000000.0,5000000
3677,Karl Darlow,Goalkeeper,23,Nottm Forest,Championship,Newcastle,England,2014-2015,1000000.0,5000000
3678,Jamaal Lascelles,Centre-Back,20,Nottm Forest,Championship,Newcastle,England,2014-2015,600000.0,5000000
3679,Cristian Penilla,Left Winger,23,Barcelona SC,Serie A Segunda Etapa,CF Pachuca,Mexico,2014-2015,1500000.0,4950000
3680,Nicolás Lodeiro,Attacking Midfield,25,Corinthians,Série A,Boca Juniors,Argentina,2014-2015,2000000.0,4920000
3681,Marco Benassi,Central Midfield,19,Inter,Serie A,Torino,Italy,2014-2015,4000000.0,4800000
3682,Rodrigo de Paul,Right Winger,20,Racing Club,Torneo Inicial,Valencia CF,Spain,2014-2015,3500000.0,4800000
3683,Muhamed Besic,Defensive Midfield,21,Ferencváros,NB I.,Everton,England,2014-2015,2500000.0,4800000
3684,Tarik Camdal,Right-Back,23,Eskisehirspor,Süper Lig,Galatasaray,Turkey,2014-2015,2700000.0,4750000
3685,Aaron Cresswell,Left-Back,24,Ipswich,Championship,West Ham,England,2014-2015,1500000.0,4750000
3686,Talisca,Attacking Midfield,20,EC Bahia,Série A,Benfica,Portugal,2014-2015,400000.0,4750000
3687,Gökhan Töre,Right Winger,22,Rubin Kazan,Premier Liga,Besiktas,Turkey,2014-2015,7000000.0,4500000
3688,Nicolai Müller,Right Winger,26,1.FSV Mainz 05,1.Bundesliga,Hamburger SV,Germany,2014-2015,7000000.0,4500000
3689,Panagiotis Kone,Central Midfield,27,Bologna,Serie B,Udinese Calcio,Italy,2014-2015,6000000.0,4500000
3690,Marco Parolo,Central Midfield,29,Parma,Serie A,Lazio,Italy,2014-2015,6000000.0,4500000
3691,Abdelaziz Barrada,Attacking Midfield,25,Al-Jazira,UAE Gulf League,Marseille,France,2014-2015,5500000.0,4500000
3692,Federico Peluso,Left-Back,30,Juventus,Serie A,Sassuolo,Italy,2014-2015,3800000.0,4500000
3693,Kyle Lafferty,Centre-Forward,26,US Palermo,Serie A,Norwich,England,2014-2015,3000000.0,4500000
3694,Jannik Vestergaard,Centre-Back,22,TSG Hoffenheim,1.Bundesliga,Werder Bremen,Germany,2014-2015,3000000.0,4500000
3695,Federico Bonazzoli,Centre-Forward,17,Inter,Serie A,Sampdoria,Italy,2014-2015,2500000.0,4500000
3696,Guilherme,Defensive Midfield,23,Corinthians,Série A,Udinese Calcio,Italy,2014-2015,2500000.0,4500000
3697,Alan Kardec,Centre-Forward,25,Benfica,Liga NOS,São Paulo,Brazil,2014-2015,1500000.0,4500000
3698,Danilo,Defensive Midfield,18,Vasco da Gama,Série B,Braga,Portugal,2014-2015,,4500000
3699,Mohamed Diamé,Central Midfield,27,West Ham,Premier League,Hull City,England,2014-2015,7000000.0,4400000
3700,Michael Dawson,Centre-Back,30,Spurs,Premier League,Hull City,England,2014-2015,6500000.0,4400000
3701,Hiroshi Kiyotake,Attacking Midfield,24,1.FC Nuremberg,2.Bundesliga,Hannover 96,Germany,2014-2015,4500000.0,4300000
3702,Adil Rami,Centre-Back,28,Valencia CF,LaLiga,AC Milan,Italy,2014-2015,8000000.0,4250000
3703,Carles Gil,Right Winger,22,Valencia CF,LaLiga,Aston Villa,England,2014-2015,6000000.0,4200000
3704,Ricardo Centurión,Left Winger,22,Racing Club,Primera División,São Paulo,Brazil,2014-2015,4000000.0,4200000
3705,Dabao Yu,Right Winger,26,DL Yifang,League One,BJ Sinobo Guoan,China,2014-2015,500000.0,4200000
3706,Agustín Marchesín,Goalkeeper,26,Lanús,Primera División,Santos Laguna,Mexico,2014-2015,2500000.0,4150000
3707,Edwin Cardona,Left Winger,22,Atl. Nacional,Liga Águila II,Monterrey,Mexico,2014-2015,900000.0,4150000
3708,Daniel Agger,Centre-Back,29,Liverpool,Premier League,Bröndby IF,Denmark,2014-2015,15000000.0,4000000
3709,Olcan Adin,Right Midfield,28,Trabzonspor,Süper Lig,Galatasaray,Turkey,2014-2015,9000000.0,4000000
3710,Valentin Stocker,Attacking Midfield,25,FC Basel,Super League,Hertha BSC,Germany,2014-2015,7000000.0,4000000
3711,Odil Akhmedov,Defensive Midfield,26,Anzhi,1.Division,Krasnodar,Russia,2014-2015,6000000.0,4000000
3712,Esteban Granero,Central Midfield,27,QPR,Premier League,Real Sociedad,Spain,2014-2015,5000000.0,4000000
3713,Kevin De Bruyne,Attacking Midfield,24,VfL Wolfsburg,1.Bundesliga,Man City,England,2015-2016,45000000.0,76000000
3714,Raheem Sterling,Right Winger,20,Liverpool,Premier League,Man City,England,2015-2016,40000000.0,63700000
3715,Ángel Di María,Right Winger,27,Man Utd,Premier League,Paris SG,France,2015-2016,50000000.0,63000000
3716,Anthony Martial,Left Winger,19,Monaco,Ligue 1,Man Utd,England,2015-2016,8000000.0,60000000
3717,Alex Teixeira,Attacking Midfield,26,Shakhtar D.,Premier Liga,JS Suning,China,2015-2016,30000000.0,50000000
3718,Christian Benteke,Centre-Forward,24,Aston Villa,Premier League,Liverpool,England,2015-2016,20000000.0,46500000
3719,Nicolás Otamendi,Centre-Back,27,Valencia CF,LaLiga,Man City,England,2015-2016,25000000.0,44600000
3720,Julian Draxler,Central Midfield,21,FC Schalke 04,1.Bundesliga,VfL Wolfsburg,Germany,2015-2016,22000000.0,43000000
3721,Jackson Martínez,Centre-Forward,29,Atlético Madrid,LaLiga,GZ Evergrande,China,2015-2016,30000000.0,42000000
3722,Roberto Firmino,Second Striker,23,TSG Hoffenheim,1.Bundesliga,Liverpool,England,2015-2016,25000000.0,41000000
3723,Paulo Dybala,Second Striker,21,US Palermo,Serie A,Juventus,Italy,2015-2016,28000000.0,40000000
3724,Arturo Vidal,Central Midfield,28,Juventus,Serie A,Bayern Munich ,Germany,2015-2016,42000000.0,37500000
3725,Jackson Martínez,Centre-Forward,28,FC Porto,Liga NOS,Atlético Madrid,Spain,2015-2016,35000000.0,37100000
3726,Geoffrey Kondogbia,Central Midfield,22,Monaco,Ligue 1,Inter,Italy,2015-2016,16000000.0,36000000
3727,Morgan Schneiderlin,Defensive Midfield,25,Southampton,Premier League,Man Utd,England,2015-2016,28000000.0,35000000
3728,Arda Turan,Left Winger,28,Atlético Madrid,LaLiga,FC Barcelona,Spain,2015-2016,35000000.0,34000000
3729,Memphis Depay,Left Winger,21,PSV Eindhoven,Eredivisie,Man Utd,England,2015-2016,28000000.0,34000000
3730,Danilo,Right-Back,23,FC Porto,Liga NOS,Real Madrid,Spain,2015-2016,25000000.0,31500000
3731,Mateo Kovacic,Central Midfield,21,Inter,Serie A,Real Madrid,Spain,2015-2016,22000000.0,31000000
3732,Carlos Bacca,Centre-Forward,28,Sevilla FC,LaLiga,AC Milan,Italy,2015-2016,25000000.0,30000000
3733,Douglas Costa,Right Winger,24,Shakhtar D.,Premier Liga,Bayern Munich ,Germany,2015-2016,23000000.0,30000000
3734,Rodrigo,Centre-Forward,24,Benfica,Liga NOS,Valencia CF,Spain,2015-2016,18000000.0,30000000
3735,Heung-min Son,Left Winger,23,Bay. Leverkusen,1.Bundesliga,Spurs,England,2015-2016,16000000.0,30000000
3736,Ramires,Central Midfield,28,Chelsea,Premier League,JS Suning,China,2015-2016,25000000.0,28000000
3737,Álvaro Negredo,Centre-Forward,29,Man City,Premier League,Valencia CF,Spain,2015-2016,18000000.0,28000000
3738,Pedro,Left Winger,28,FC Barcelona,LaLiga,Chelsea,England,2015-2016,20000000.0,27000000
3739,Alex Sandro,Left-Back,24,FC Porto,Liga NOS,Juventus,Italy,2015-2016,20000000.0,26000000
3740,Stefan Savic,Centre-Back,24,Fiorentina,Serie A,Atlético Madrid,Spain,2015-2016,15000000.0,25000000
3741,Layvin Kurzawa,Left-Back,22,Monaco,Ligue 1,Paris SG,France,2015-2016,10000000.0,25000000
3742,Alessio Romagnoli,Centre-Back,20,AS Roma,Serie A,AC Milan,Italy,2015-2016,8500000.0,25000000
3743,Yannick Carrasco,Left Winger,21,Monaco,Ligue 1,Atlético Madrid,Spain,2015-2016,9000000.0,24760000
